algo,steps,n_imgs,dataset,seed,total_s,per_step_ms
DDPM,5,4,faces,42,0.9900031089782715,198.0006217956543
DDPM,10,4,faces,42,1.9806253910064697,198.06253910064697
DDPM,25,4,faces,42,4.973175764083862,198.9270305633545
DDPM,50,4,faces,42,9.963361501693726,199.2672300338745
DDPM,100,4,faces,42,20.22598695755005,202.2598695755005
DDPM,250,4,faces,42,51.02086925506592,204.08347702026367
DDIM,5,4,faces,42,1.0302584171295166,206.05168342590332
DDIM,10,4,faces,42,2.0485143661499023,204.85143661499023
DDIM,25,4,faces,42,5.117356300354004,204.69425201416016
DDIM,50,4,faces,42,10.14257526397705,202.85150527954102
DDIM,100,4,faces,42,21.352031707763672,213.52031707763672
DDIM,250,4,faces,42,51.3041934967041,205.2167739868164
