dataset,lambda,policy,n_jobs,avg_wait,avg_srv,avg_tot,eff_clip,eff_fid
cifar10,0.3,fixed_ddpm_100,35,1.0861692048351361,2.164393433532113,3.2505626383672492,0.2171418964862823,173.18731689453125
cifar10,0.3,fixed_ddim_50,35,0.17394765385962246,0.9763978346411201,1.1503454885007425,0.2223371416330337,87.57469177246094
cifar10,0.3,fixed_ddim_20,35,0.013130333320751829,0.41824741005303817,0.43137774337379003,0.2244429588317871,94.8660659790039
cifar10,0.3,policy_3level,35,0.9166760565339359,1.9946797765476854,2.9113558330816214,0.2178840743643896,160.95694187709262
cifar10,0.6,fixed_ddpm_100,75,22.598477187642462,2.1643934335321164,24.762870621174578,0.2171418964862823,173.18731689453125
cifar10,0.6,fixed_ddim_50,75,0.8785336402322269,0.9763978346411201,1.8549314748733468,0.2223371416330337,87.57469177246094
cifar10,0.6,fixed_ddim_20,75,0.10197337793208795,0.41824741005303784,0.5202207879851258,0.2244429588317871,94.8660659790039
cifar10,0.6,policy_3level,75,2.068950123791702,1.4227839815490178,3.49173410534072,0.2203582390149434,123.54455342610677
cifar10,0.9,fixed_ddpm_100,111,61.310193361422044,2.164393433532119,63.47458679495416,0.2171418964862823,173.18731689453125
cifar10,0.9,fixed_ddim_50,111,2.8264907059608104,0.9763978346411201,3.8028885406019293,0.2223371416330337,87.57469177246094
cifar10,0.9,fixed_ddim_20,111,0.16803486603623283,0.41824741005303784,0.5862822760892706,0.2244429588317871,94.8660659790039
cifar10,0.9,policy_3level,111,2.6893624795024906,1.0509481912968248,3.7403106707993152,0.22191453584142629,106.64497760394673
flowers,0.3,fixed_ddpm_100,35,2.7389842158647446,2.9189699223874044,5.6579541382521485,0.2347262650728225,117.88209533691406
flowers,0.3,fixed_ddim_50,35,0.5025608909070809,1.516630752738198,2.0191916436452786,0.2320609390735626,134.43276977539062
flowers,0.3,fixed_ddim_20,35,0.05801632301313059,0.6753838717503413,0.733400194763472,0.2350997626781463,127.85455322265624
flowers,0.3,policy_3level,35,1.6467185037291163,2.598435255039014,4.24515375876813,0.23411704770156308,121.66510663713728
flowers,0.6,fixed_ddpm_100,75,49.03883735713173,2.9189699223873977,51.95780727951913,0.2347262650728225,117.88209533691406
flowers,0.6,fixed_ddim_50,75,3.4465647608705754,1.516630752738198,4.963195513608773,0.2320609390735626,134.43276977539062
flowers,0.6,fixed_ddim_20,75,0.3432685054388168,0.6753838717503413,1.018652377189158,0.2350997626781463,127.85455322265624
flowers,0.6,policy_3level,75,4.177797504799746,1.617643026777408,5.795440531577154,0.2335514879226684,128.61870727539062
flowers,0.9,fixed_ddpm_100,111,101.76550420375092,2.918969922387402,104.68447412613835,0.2347262650728225,117.88209533691406
flowers,0.9,fixed_ddim_50,111,26.961264179863512,1.5166307527381973,28.477894932601714,0.2320609390735626,134.43276977539062
flowers,0.9,fixed_ddim_20,111,0.6906226911963244,0.6753838717503412,1.3660065629466656,0.2350997626781463,127.85455322265624
flowers,0.9,policy_3level,111,4.480892646071527,1.1301260255096932,5.6110186715812205,0.23387499489225777,129.9230827812676
faces,0.3,fixed_ddpm_100,35,281.4744708624922,20.309127472286793,301.78359833477896,0.2286647856235504,265.9623107910156
faces,0.3,fixed_ddim_50,35,112.9099108657674,10.363757655144468,123.27366852091187,0.2289981245994568,263.3172302246094
faces,0.3,fixed_ddim_20,35,16.98022866167887,4.1896754505991645,21.16990411227803,0.2289082258939743,261.1539306640625
faces,0.3,policy_3level,35,54.706441650253595,5.639994040799486,60.34643569105309,0.22890202062470572,261.6141209193638
faces,0.6,fixed_ddpm_100,75,689.2217271782537,20.309127472286775,709.5308546505402,0.2286647856235504,265.9623107910156
faces,0.6,fixed_ddim_50,75,321.2430439439876,10.363757655144468,331.60680159913204,0.2289981245994568,263.3172302246094
faces,0.6,fixed_ddim_20,75,94.03831415035796,4.189675450599166,98.22798960095713,0.2289082258939743,261.1539306640625
faces,0.6,policy_3level,75,141.93052179922782,4.86649079269265,146.79701259192052,0.22890533010164898,261.3686861165365
faces,0.9,fixed_ddpm_100,111,1057.5210684372976,20.309127472286782,1077.8301959095845,0.2286647856235504,265.9623107910156
faces,0.9,fixed_ddim_50,111,510.5257284944706,10.363757655144479,520.8894861496149,0.2289981245994568,263.3172302246094
faces,0.9,fixed_ddim_20,111,170.95120724447875,4.189675450599167,175.1408826950779,0.2289082258939743,261.1539306640625
faces,0.9,policy_3level,111,220.60922868960165,4.6469831141758435,225.25621180377763,0.22890626927753827,261.2990356995179
